Script started on Sun Nov 30 13:31:39 2014
[?1034hpoot:~/data-poi/data->exitminiterm.py -b 38400 /dev/tty.Poi_1-RNI-SPP
Traceback (most recent call last):
  File "/usr/local/bin/miniterm.py", line 694, in <module>
    main()
  File "/usr/local/bin/miniterm.py", line 649, in main
    repr_mode=options.repr_mode,
  File "/usr/local/bin/miniterm.py", line 171, in __init__
    self.serial = serial.serial_for_url(port, baudrate, parity=parity, rtscts=rtscts, xonxoff=xonxoff, timeout=1)
  File "/Library/Python/2.7/site-packages/serial/__init__.py", line 78, in serial_for_url
    instance.open()
  File "/Library/Python/2.7/site-packages/serial/serialposix.py", line 289, in open
    self.fd = os.open(self.portstr, os.O_RDWR|os.O_NOCTTY|os.O_NONBLOCK)
OSError: [Errno 16] Resource busy: '/dev/tty.Poi_1-RNI-SPP'
poot:~/data-poi/data->miniterm.py -b 38400 /dev/tty.Poi_1-RNI-SPP
--- Miniterm on /dev/tty.Poi_1-RNI-SPP: 38400,8,N,1 ---
--- Quit: Ctrl+]  |  Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
63,-69.23,-71.36
-105.63,-69.24,-71.37
-105.63,-69.24,-71.37
-105.63,-69.24,-71.36
-105.63,-69.25,-71.37
-105.63,-69.25,-71.36
-105.62,-69.25,-71.36
-105.63,-69.26,-71.35
-105.64,-69.26,-71.34
-105.64,-69.26,-71.34
-105.63,-69.27,-71.35
-105.63,-69.27,-71.35
-105.63,-69.27,-71.35
-105.63,-69.28,-71.35
-105.63,-69.28,-71.35
-105.63,-69.28,-71.34
-105.64,-69.29,-71.34
-105.63,-69.29,-71.34
-105.64,-69.29,-71.34
-105.64,-69.29,-71.34
-105.64,-69.29,-71.34
-105.64,-69.30,-71.34
-105.64,-69.30,-71.34
-105.65,-69.30,-71.34
-105.65,-69.30,-71.34
-105.65,-69.30,-71.34
-105.65,-69.30,-71.33
-105.66,-69.30,-71.33
-105.66,-69.31,-71.33
-105.66,-69.31,-71.33
-105.66,-69.31,-71.33
-105.66,-69.31,-71.33
-105.66,-69.32,-71.33
-105.66,-69.32,-71.33
-105.67,-69.32,-71.32
-105.67,-69.32,-71.32
-105.67,-69.32,-71.32
-105.67,-69.32,-71.32
-105.67,-69.33,-71.31
-105.68,-69.33,-71.31
-105.68,-69.33,-71.31
-105.67,-69.33,-71.31
-105.67,-69.34,-71.31
-105.68,-69.34,-71.30
-105.68,-69.34,-71.30
-105.68,-69.35,-71.30
-105.68,-69.35,-71.30
-105.68,-69.35,-71.30
-105.68,-69.35,-71.29
-105.68,-69.36,-71.29
-105.69,-69.36,-71.29
-105.69,-69.36,-71.28
-105.69,-69.37,-71.28
-105.69,-69.37,-71.28
-105.69,-69.37,-71.28
-105.70,-69.37,-71.28
-105.70,-69.37,-71.27
-105.70,-69.37,-71.27
-105.70,-69.38,-71.27
-105.70,-69.38,-71.27
-105.71,-69.38,-71.27
-105.71,-69.38,-71.27
-105.71,-69.38,-71.27
-105.71,-69.38,-71.27
-105.71,-69.38,-71.27
-105.71,-69.38,-71.27
-105.71,-69.38,-71.27
-105.71,-69.38,-71.27
-105.71,-69.39,-71.27
-105.72,-69.39,-71.27
-105.72,-69.39,-71.27
-105.72,-69.39,-71.26
-105.73,-69.40,-71.25
-105.73,-69.40,-71.25
-105.73,-69.40,-71.25
-105.73,-69.41,-71.25
-105.73,-69.41,-71.25
-105.74,-69.41,-71.24
-105.74,-69.42,-71.24
-105.75,-69.42,-71.23
-105.74,-69.42,-71.23
-105.75,-69.42,-71.23
-105.75,-69.42,-71.22
-105.76,-69.42,-71.22
-105.75,-69.43,-71.22
-105.76,-69.43,-71.22
-105.75,-69.43,-71.22
-105.76,-69.43,-71.22
-105.76,-69.44,-71.22
-105.76,-69.44,-71.22
-105.76,-69.44,-71.22
-105.76,-69.44,-71.22
-105.76,-69.44,-71.22
-105.76,-69.44,-71.22
-105.76,-69.44,-71.22
-105.77,-69.45,-71.22
-105.77,-69.45,-71.22
-105.77,-69.45,-71.22
-105.77,-69.45,-71.22
-105.77,-69.45,-71.22
-105.78,-69.45,-71.21
-105.79,-69.45,-71.21
-105.79,-69.46,-71.21
-105.79,-69.46,-71.21
-105.78,-69.46,-71.21
-105.78,-69.46,-71.21
-105.78,-69.47,-71.21
-105.79,-69.47,-71.21
-105.79,-69.47,-71.21
-105.79,-69.47,-71.21
-105.78,-69.48,-71.21
-105.79,-69.48,-71.21
-105.79,-69.48,-71.21
-105.80,-69.49,-71.20
-105.80,-69.49,-71.20
-105.80,-69.49,-71.19
-105.81,-69.49,-71.19
-105.81,-69.50,-71.18
-105.82,-69.50,-71.18
-105.82,-69.50,-71.17
-105.83,-69.50,-71.17
-105.83,-69.51,-71.16
-105.83,-69.51,-71.16
-105.84,-69.51,-71.15
-105.83,-69.51,-71.16
-105.84,-69.52,-71.16
-105.84,-69.52,-71.16
-105.84,-69.52,-71.16
-105.84,-69.52,-71.16
-105.85,-69.52,-71.16
-105.85,-69.52,-71.16
-105.85,-69.53,-71.16
-105.86,-69.53,-71.16
-105.86,-69.53,-71.16
-105.86,-69.53,-71.16
-105.86,-69.53,-71.16
-105.87,-69.54,-71.15
-105.88,-69.54,-71.14
-105.88,-69.54,-71.14
-105.88,-69.54,-71.14
-105.88,-69.54,-71.14
-105.89,-69.54,-71.14
-105.88,-69.55,-71.14
-105.88,-69.55,-71.13
-105.89,-69.55,-71.13
-105.88,-69.55,-71.13
-105.89,-69.56,-71.12
-105.89,-69.56,-71.12
-105.88,-69.56,-71.12
-105.89,-69.57,-71.11
-105.90,-69.57,-71.10
-105.89,-69.57,-71.11
-105.90,-69.57,-71.10
-105.90,-69.58,-71.11
-105.91,-69.58,-71.10
-105.91,-69.58,-71.09
-105.91,-69.58,-71.09
-105.92,-69.58,-71.09
-105.92,-69.58,-71.09
-105.92,-69.58,-71.09
-105.92,-69.58,-71.08
-105.93,-69.59,-71.08
-105.92,-69.59,-71.08
-105.92,-69.59,-71.09
-105.92,-69.59,-71.09
-105.91,-69.60,-71.10
-105.91,-69.60,-71.10
-105.91,-69.60,-71.10
-105.91,-69.61,-71.10
-105.91,-69.61,-71.10
-105.91,-69.61,-71.11
-105.91,-69.62,-71.11
-105.91,-69.62,-71.11
-105.91,-69.62,-71.11
-105.91,-69.62,-71.10
-105.92,-69.62,-71.10
-105.92,-69.62,-71.09
-105.92,-69.63,-71.08
-105.93,-69.63,-71.08
-105.94,-69.63,-71.07
-105.94,-69.64,-71.06
-105.94,-69.64,-71.06
-105.95,-69.64,-71.05
-105.95,-69.64,-71.05
-105.95,-69.65,-71.05
-105.95,-69.65,-71.05
-105.95,-69.65,-71.04
-105.96,-69.65,-71.04
-105.96,-69.66,-71.04
-105.96,-69.66,-71.04
-105.96,-69.66,-71.04
-105.96,-69.66,-71.03
-105.96,-69.66,-71.04
-105.95,-69.67,-71.05
-105.95,-69.67,-71.05
-105.95,-69.67,-71.05
-105.96,-69.67,-71.04
-105.96,-69.67,-71.04
-105.97,-69.67,-71.04
-105.96,-69.67,-71.04
-105.97,-69.68,-71.04
-105.97,-69.68,-71.04
-105.97,-69.68,-71.04
-105.97,-69.68,-71.04
-105.97,-69.68,-71.04
-105.97,-69.68,-71.03
-105.98,-69.68,-71.03
-105.99,-69.69,-71.02
-105.99,-69.69,-71.02
-105.99,-69.69,-71.02
-105.99,-69.69,-71.02
-105.99,-69.69,-71.02
-105.98,-69.70,-71.02
-105.98,-69.70,-71.02
-105.99,-69.70,-71.01
-105.99,-69.70,-71.01
-105.99,-69.71,-71.01
-106.00,-69.71,-71.00
-106.00,-69.71,-71.00
-106.01,-69.72,-70.99
-106.01,-69.72,-70.99
-106.02,-69.72,-70.98
-106.03,-69.72,-70.97
-106.03,-69.73,-70.96
-106.03,-69.73,-70.97
-106.03,-69.73,-70.97
-106.03,-69.73,-70.97
-106.03,-69.73,-70.97
-106.03,-69.73,-70.97
-106.04,-69.74,-70.97
-106.04,-69.74,-70.97
-106.05,-69.74,-70.97
-106.06,-69.75,-70.96
-106.07,-69.75,-70.95
-106.08,-69.75,-70.95
-106.09,-69.75,-70.93
-106.10,-69.75,-70.93
-106.10,-69.75,-70.92
-106.10,-69.75,-70.92
-106.11,-69.75,-70.91
-106.11,-69.76,-70.91
-106.12,-69.76,-70.90
-106.12,-69.76,-70.90
-106.12,-69.76,-70.91
-106.11,-69.76,-70.92
-106.10,-69.77,-70.92
-106.10,-69.77,-70.92
-106.10,-69.77,-70.92
-106.10,-69.78,-70.92
-106.10,-69.78,-70.92
-106.10,-69.78,-70.92
-106.10,-69.78,-70.92
-106.11,-69.79,-70.91
-106.12,-69.79,-70.90
-106.13,-69.79,-70.89
-106.14,-69.79,-70.88
-106.14,-69.79,-70.87
-106.15,-69.80,-70.87
-106.16,-69.79,-70.86
-106.16,-69.80,-70.86
-106.17,-69.80,-70.86
-106.17,-69.80,-70.85
-106.18,-69.80,-70.85
-106.18,-69.80,-70.85
-106.17,-69.80,-70.85
-106.17,-69.81,-70.85
-106.17,-69.81,-70.86
-106.17,-69.81,-70.86
-106.17,-69.81,-70.86
-106.17,-69.82,-70.86
-106.17,-69.82,-70.86
-106.18,-69.82,-70.86
-106.18,-69.82,-70.86
-106.18,-69.82,-70.86
-106.18,-69.82,-70.86
-106.18,-69.83,-70.86
-106.19,-69.83,-70.85
-106.20,-69.83,-70.84
-106.20,-69.83,-70.83
-106.21,-69.84,-70.83
-106.21,-69.84,-70.83
-106.22,-69.84,-70.82
-106.22,-69.85,-70.82
-106.22,-69.85,-70.81
-106.22,-69.85,-70.81
-106.22,-69.86,-70.81
-106.22,-69.86,-70.81
-106.22,-69.86,-70.81
-106.22,-69.87,-70.81
-106.22,-69.87,-70.81
-106.23,-69.87,-70.80
-106.24,-69.88,-70.80
-106.25,-69.88,-70.79
-106.25,-69.88,-70.78
-106.25,-69.88,-70.78
-106.26,-69.88,-70.78
-106.26,-69.88,-70.78
-106.27,-69.88,-70.78
-106.27,-69.88,-70.77
-106.28,-69.89,-70.77
-106.29,-69.89,-70.76
-106.29,-69.89,-70.75
-106.29,-69.89,-70.76
-106.29,-69.89,-70.76
-106.29,-69.89,-70.76
-106.29,-69.90,-70.76
-106.29,-69.90,-70.76
-106.29,-69.91,-70.76
-106.28,-69.91,-70.77
-106.28,-69.92,-70.77
-106.28,-69.92,-70.76
-106.29,-69.92,-70.76
-106.29,-69.92,-70.75
-106.29,-69.93,-70.76
-106.29,-69.93,-70.75
-106.30,-69.93,-70.75
-106.31,-69.93,-70.74
-106.31,-69.93,-70.73
-106.32,-69.93,-70.72
-106.32,-69.93,-70.72
-106.32,-69.94,-70.71
-106.33,-69.94,-70.71
-106.33,-69.94,-70.71
-106.33,-69.94,-70.71
-106.33,-69.95,-70.71
-106.33,-69.95,-70.71
-106.33,-69.94,-70.70
-106.33,-69.95,-70.70
-106.33,-69.95,-70.70
-106.32,-69.95,-70.70
-106.32,-69.95,-70.70
-106.32,-69.95,-70.70
-106.31,-69.95,-70.71
-106.31,-69.96,-70.71
-106.31,-69.96,-70.72
-106.31,-69.96,-70.72
-106.32,-69.96,-70.72
-106.33,-69.96,-70.71
-106.33,-69.96,-70.71
-106.34,-69.96,-70.70
-106.34,-69.96,-70.70
-106.34,-69.96,-70.70
-106.35,-69.96,-70.70
-106.35,-69.97,-70.70
-106.34,-69.97,-70.70
-106.34,-69.97,-70.70
-106.34,-69.97,-70.71
-106.34,-69.98,-70.70
-106.34,-69.98,-70.70
-106.35,-69.98,-70.69
-106.35,-69.99,-70.69
-106.35,-69.99,-70.68
-106.35,-69.99,-70.68
-106.36,-70.00,-70.67
-106.36,-70.00,-70.67
-106.36,-70.01,-70.67
-106.36,-70.01,-70.67
-106.38,-70.01,-70.65
-106.38,-70.01,-70.65
-106.39,-70.01,-70.64
-106.40,-70.01,-70.63
-106.40,-70.01,-70.63
-106.40,-70.01,-70.64
-106.40,-70.01,-70.63
-106.40,-70.01,-70.64
-106.40,-70.02,-70.65
-106.39,-70.02,-70.65
-106.39,-70.02,-70.65
-106.40,-70.02,-70.65
-106.40,-70.02,-70.65
-106.39,-70.02,-70.65
-106.40,-70.02,-70.65
-106.41,-70.02,-70.65
-106.41,-70.03,-70.65
-106.41,-70.03,-70.65
-106.41,-70.03,-70.65
-106.41,-70.03,-70.65
-106.41,-70.04,-70.65
-106.41,-70.04,-70.64
-106.41,-70.04,-70.64
-106.42,-70.05,-70.63
-106.43,-70.05,-70.63
-106.43,-70.05,-70.62
-106.44,-70.05,-70.61
-106.44,-70.06,-70.60
-106.45,-70.06,-70.60
-106.45,-70.06,-70.60
-106.45,-70.06,-70.60
-106.45,-70.07,-70.60
-106.46,-70.07,-70.60
-106.45,-70.08,-70.60
-106.45,-70.08,-70.60
-106.45,-70.08,-70.60
-106.45,-70.09,-70.61
-106.45,-70.09,-70.60
-106.45,-70.09,-70.60
-106.46,-70.09,-70.59
-106.47,-70.10,-70.58
-106.47,-70.10,-70.58
-106.48,-70.10,-70.58
-106.48,-70.10,-70.57
-106.49,-70.10,-70.57
-106.49,-70.10,-70.57
-106.50,-70.11,-70.56
-106.50,-70.11,-70.56
-106.51,-70.11,-70.56
-106.51,-70.11,-70.56
-106.52,-70.12,-70.55
-106.53,-70.12,-70.55
-106.52,-70.12,-70.55
-106.53,-70.12,-70.55
-106.54,-70.12,-70.54
-106.54,-70.13,-70.54
-106.55,-70.13,-70.53
-106.55,-70.13,-70.53
-106.55,-70.13,-70.53
-106.55,-70.13,-70.53
